POI,subway_station,subway_station,subway_station,police,police,police,primary_school,primary_school,primary_school,university,university,university,library,library,library,night_club,night_club,night_club,shopping_mall,shopping_mall,shopping_mall,supermarket,supermarket,supermarket,bus_station,bus_station,bus_station,park,park,park,church,church,church,hospital,hospital,hospital
radius,500,1000,3000,500,1000,3000,500,1000,3000,500,1000,3000,500,1000,3000,500,1000,3000,500,1000,3000,500,1000,3000,500,1000,3000,500,1000,3000,500,1000,3000,500,1000,3000
address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市文山區忠順街二段85巷15號4樓,0,0,8,2,2,15,1,7,26,2,16,45,2,8,30,1,1,5,0,0,4,9,11,37,2,3,49,7,30,60,9,20,60,4,5,31
臺北市文山區福興路96號3樓之4,0,1,10,0,3,18,3,7,36,2,10,60,1,2,47,0,3,15,0,0,12,1,6,55,0,5,60,7,22,60,1,9,60,0,3,60
臺北市中正區和平西路一段59號9樓之20,1,2,4,1,10,13,3,7,12,0,16,27,6,20,34,1,4,5,0,5,12,6,11,28,5,19,30,10,42,60,22,50,60,18,27,35
臺北市文山區樟新街56巷22號4樓,0,0,10,1,1,20,0,2,34,0,1,49,1,2,43,0,0,13,0,4,12,2,8,60,0,3,60,5,15,60,0,4,60,0,3,60
臺北市文山區木柵路四段１５９巷１７０弄１１號五樓,0,2,6,0,0,7,1,1,11,0,0,27,0,1,20,0,0,2,0,0,2,0,1,22,0,10,27,1,13,60,0,6,46,0,1,22
臺北市文山區興隆路３段112巷4弄18號5樓,1,2,9,1,4,18,1,7,31,7,8,60,1,3,42,1,1,9,0,0,5,2,5,47,5,7,58,1,22,60,3,17,60,16,18,60
臺北市大同區民生西路112號4樓之2,1,5,8,4,18,26,4,10,14,4,11,31,4,20,26,4,60,60,4,43,58,2,21,34,2,24,48,10,36,60,4,48,60,17,49,60
臺北市大同區酒泉街189號2樓,0,1,3,3,5,10,1,6,9,0,5,16,2,5,9,1,4,7,3,4,9,2,5,11,2,11,22,10,23,43,6,15,30,3,8,13
臺北市萬華區寶興街80巷24號二樓,0,0,1,1,4,8,1,10,11,0,2,2,1,3,6,4,4,6,1,1,3,5,15,24,0,4,14,10,29,57,7,19,21,7,9,12
臺北市萬華區莒光路２８３巷１５之１號三樓,0,1,2,3,11,12,3,13,15,1,3,9,1,10,16,1,10,12,2,6,6,7,25,35,7,17,22,6,50,60,6,26,41,2,26,44
臺北市中正區林森南路69號九樓,0,5,7,1,12,28,1,4,8,11,29,49,8,34,45,0,3,30,1,14,39,4,14,21,4,33,59,5,37,58,7,44,60,15,49,60
臺北市萬華區雙園街４０巷２３號四樓,0,1,1,1,7,10,3,8,13,1,2,2,2,5,6,4,7,10,1,3,6,5,17,26,0,10,17,9,40,55,6,18,23,6,18,23
臺北市萬華區東園街３０號六樓之１,0,1,1,1,6,8,4,11,12,1,2,2,1,5,7,4,6,9,1,3,6,6,19,29,0,10,16,7,35,60,9,20,27,7,10,19
臺北市萬華區東園街３０號六樓之３,0,1,1,1,6,8,4,11,12,1,2,2,1,5,7,4,6,9,1,3,6,6,19,29,0,10,16,7,35,60,9,20,27,7,10,19
臺北市萬華區東園街３０號九樓,0,1,1,1,6,8,4,11,12,1,2,2,1,5,7,4,6,9,1,3,6,6,19,29,0,10,16,7,35,60,9,20,27,7,10,19
臺北市中山區林森北路５３６號二樓之６,1,4,6,1,2,15,3,7,12,9,21,24,3,11,18,26,51,60,5,11,21,8,18,34,3,18,39,12,44,60,17,40,58,19,48,60
臺北市內湖區康樂街186巷19號7樓,0,0,6,0,1,13,0,1,17,0,0,13,0,1,12,0,0,7,1,3,11,1,5,47,0,4,47,4,17,60,0,2,50,0,1,52
臺北市內湖區內湖路一段411巷62弄6號9樓之2,1,2,7,1,3,12,3,4,20,1,10,48,1,3,18,0,0,8,1,3,33,5,14,55,0,10,53,8,34,60,6,14,60,4,9,58
臺北市內湖區大湖街131巷41弄10號,1,2,6,1,3,11,1,3,14,0,1,29,0,0,10,1,3,6,0,0,9,2,3,40,2,7,35,11,31,60,4,8,52,1,4,60
臺北市中山區新生北路二段96號八樓之19,1,6,6,2,5,13,1,6,13,3,13,27,3,13,21,42,60,60,7,23,34,5,22,29,1,21,44,9,43,60,7,42,60,20,57,60
臺北市內湖區民權東路六段１８０巷４２弄５３號五樓之１,0,0,13,1,1,25,1,1,31,2,13,35,1,4,21,0,0,17,1,2,38,1,3,60,0,2,60,7,21,60,3,5,60,1,23,60
臺北市內湖區新明路２９１號,0,0,7,1,5,15,2,3,27,0,2,25,0,1,25,0,3,23,0,6,35,0,6,60,0,2,50,7,25,60,2,7,60,0,8,60
臺北市中山區林森北路５８５號五樓之３,1,3,6,0,3,11,3,5,9,11,19,24,3,9,16,8,39,54,1,9,16,7,18,32,3,17,34,10,47,60,16,36,53,19,42,57
臺北市信義區松仁路308巷111號2樓,0,0,11,0,0,17,0,2,20,0,2,42,0,2,26,0,1,37,0,0,38,1,4,55,0,0,60,5,16,60,0,5,60,0,1,60
臺北市南港區成福路194巷1弄2號三樓,0,1,7,0,1,21,2,8,21,1,1,30,3,6,26,2,5,36,0,2,55,1,11,46,0,4,48,13,38,60,6,18,60,0,17,47
臺北市南港區園區街４８號十一樓之３,1,4,7,2,6,18,2,4,24,0,0,31,0,3,29,0,2,6,0,5,19,1,4,51,9,22,50,9,35,60,3,11,51,2,5,60
臺北市信義區林口街１７６號七樓之１,1,2,3,0,3,8,2,10,14,0,3,5,3,11,13,7,11,13,0,3,6,7,16,22,2,10,18,11,43,60,14,33,42,8,28,33
臺北市松山區復興南路一段６３號十二樓之１,1,3,5,1,4,7,2,7,11,5,19,28,5,12,19,11,35,45,14,33,50,8,20,31,6,33,51,11,33,60,12,49,60,19,60,60
臺北市北投區吉利街２８０巷２７弄６號四樓,0,2,7,0,7,12,2,5,21,7,21,34,4,8,20,0,3,12,1,2,12,8,13,58,3,12,43,8,27,60,6,14,60,2,12,60
臺北市北投區中山北路七段219巷3弄73號5樓,0,0,3,1,1,8,0,1,18,0,2,45,0,3,21,0,1,6,0,0,9,3,7,46,0,0,17,6,19,60,2,8,57,1,2,60
臺北市士林區德行東路３３１巷３６弄１號四樓,0,0,4,0,0,16,1,5,23,1,5,60,1,6,30,1,1,9,1,5,15,1,13,49,0,0,44,0,10,60,3,13,60,1,31,60
臺北市士林區小北街２８號五樓之１,1,2,6,3,5,17,1,3,19,9,10,43,0,6,22,2,5,14,7,8,24,1,7,46,9,14,46,5,28,60,4,23,60,1,30,60
臺北市士林區福林路１００巷１７號四樓,0,1,5,0,4,14,1,3,21,0,0,41,1,2,25,0,0,13,0,3,23,3,5,54,3,10,36,15,33,60,8,23,60,3,7,60
臺北市大安區青田街１２巷２１號五樓,0,4,5,1,1,5,2,12,18,15,28,50,6,19,30,0,3,4,4,12,17,4,19,27,5,27,34,16,52,60,10,59,60,4,27,50
臺北市大安區建國南路二段39巷5號7樓,1,3,21,1,6,40,1,11,45,3,9,60,4,14,60,1,3,60,1,11,60,4,15,60,6,29,60,14,40,60,2,45,60,4,37,60
臺北市文山區三福街77號二樓之2,0,2,10,1,8,23,3,10,39,3,8,60,0,5,43,1,3,13,1,1,15,5,16,60,0,12,58,13,35,60,14,33,60,3,14,60
臺北市中正區林森南路９９巷１１號２樓,0,4,8,1,11,25,1,3,10,10,24,45,5,34,48,0,2,9,1,9,35,3,16,26,3,27,59,8,30,60,8,40,60,9,45,60
臺北市萬華區青年路１５２巷２０號３樓之２,0,0,0,2,3,8,4,6,12,0,1,2,2,6,9,0,1,6,0,0,1,4,12,24,2,3,5,11,33,41,5,18,33,1,7,13
臺北市萬華區昆明街３１６號６樓,1,3,3,3,9,24,1,8,13,1,11,17,4,17,23,2,18,30,5,16,28,7,26,32,13,30,40,8,56,60,7,19,37,10,38,46
臺北市萬華區昆明街１７９號８樓,0,3,5,3,15,22,2,5,11,8,14,27,5,15,26,11,27,31,11,28,29,10,20,24,11,32,49,7,39,60,8,18,33,24,41,50
臺北市內湖區康樂街１８６巷１弄７號３樓,0,0,6,0,1,13,0,1,17,0,0,14,0,1,12,0,0,7,0,3,13,1,7,46,0,4,47,4,16,60,0,4,49,0,1,52
臺北市內湖區文湖街８１巷１２號９樓,0,2,6,0,2,8,2,4,16,2,2,43,3,3,16,0,1,7,0,8,23,3,10,42,2,10,50,15,30,60,3,7,59,0,3,31
臺北市內湖區內湖路二段103巷48之5號6樓,0,2,7,0,2,10,1,4,18,1,14,34,1,2,10,0,2,7,0,3,30,4,15,48,0,13,42,8,28,60,6,19,55,2,17,60
臺北市內湖區新明路４６０巷１８弄１０號１２樓,1,1,2,2,3,4,1,4,10,0,0,2,1,2,6,2,5,11,1,15,21,3,11,30,5,11,17,10,39,59,4,13,31,3,7,27
臺北市信義區忠孝東路五段71巷3弄21號四樓,1,3,7,0,8,12,0,6,9,3,5,13,3,12,17,4,20,31,13,35,40,3,16,30,8,21,31,8,37,60,8,25,52,7,14,35
臺北市南港區南港路一段１５６號,1,3,6,0,4,14,2,3,19,0,1,28,1,4,25,1,2,5,1,7,16,0,8,44,2,18,46,7,35,60,9,13,44,3,4,42
臺北市南港區東新街１７０巷２３之１號４樓,0,1,5,0,1,15,1,5,23,0,1,31,0,4,30,0,3,21,0,1,26,0,5,39,0,5,40,14,25,60,0,13,60,0,14,45
臺北市松山區撫遠街３９９巷５號４樓,0,0,0,0,1,6,1,3,4,0,0,1,0,1,2,0,0,1,0,5,12,0,7,16,1,1,5,7,25,43,1,10,14,0,5,7
臺北市南港區南深路３３號５樓之３,0,0,2,1,1,4,1,3,7,1,3,22,0,11,17,0,0,3,0,0,8,1,4,11,3,4,18,4,15,52,1,1,15,0,0,3
臺北市北投區中央北路四段442巷4弄4號四樓,1,2,4,0,2,4,1,3,7,8,24,38,0,2,12,0,1,1,0,1,3,3,6,18,2,3,9,3,8,45,2,10,22,4,4,19
臺北市士林區天玉街９１號５樓,0,0,4,1,1,12,1,5,19,1,3,46,2,6,23,1,1,8,0,2,11,3,12,50,0,0,26,9,21,60,8,10,60,1,10,60
臺北市士林區天母北路４巷２號３樓,0,0,5,0,4,10,2,6,21,3,7,56,2,10,27,0,4,9,0,4,13,5,21,52,1,3,29,7,29,60,4,16,60,24,60,60
臺北市北投區同德街２０號５樓,0,0,4,0,1,11,0,2,20,1,4,47,0,5,24,0,1,8,0,2,11,4,11,50,0,0,25,9,21,60,3,8,60,1,34,60
臺北市士林區葫蘆街２３巷８號３樓,0,0,0,1,2,6,0,3,6,0,0,3,1,3,6,0,1,5,2,5,9,0,3,15,2,4,6,6,22,40,3,10,19,0,4,7
臺北市北投區公館路308巷6號4樓,1,2,7,0,0,10,1,2,19,1,21,32,1,3,17,0,3,12,0,2,4,2,12,47,4,10,31,17,32,60,1,12,58,0,2,60
臺北市大安區敦化南路一段１６１巷４０號５樓,1,4,6,0,5,9,0,9,12,3,9,20,0,15,25,18,30,45,13,29,41,6,20,38,8,26,47,6,30,57,18,47,60,27,60,60
臺北市大安區忠孝東路四段１７０巷１７弄４號３樓,1,4,5,0,3,8,3,6,13,3,7,17,0,11,22,19,33,39,14,25,34,6,25,39,12,30,47,3,30,53,19,55,60,60,60,60
臺北市信義區永吉路１２０巷５０弄１９號２樓,1,3,7,0,4,9,3,6,11,2,7,11,3,10,15,1,17,30,4,25,42,3,19,32,7,21,33,10,40,60,10,29,54,7,19,32
臺北市松山區八德路三段１５５巷２６弄１４號,1,3,5,2,7,9,3,8,11,2,7,18,6,15,23,3,16,37,3,14,37,6,21,35,2,12,36,9,36,60,19,46,60,13,57,60
臺北市信義區忠孝東路四段553巷6弄15號3樓,1,2,7,1,1,7,0,3,9,2,7,15,5,11,19,2,20,41,9,35,45,2,17,32,7,21,31,6,30,59,4,31,60,2,25,60
臺北市中山區長春路１９５號８樓之１,0,4,4,1,2,7,2,5,10,21,30,40,2,9,16,5,22,59,1,9,35,4,19,38,9,37,55,19,51,60,12,41,60,4,46,60
